ENSG00000125962	ENST00000246174*ENST00000473968*ENST00000604957*ENST00000477663*ENST00000479502*ENST00000372742	ENSP00000246174*ENSP00000473737*ENSP00000474720*ENSP00000474484*ENSP00000474470*ENSP00000361827	armadillo repeat containing, X-linked 5 [Source:HGNC Symbol;Acc:HGNC:25772]	102599168	102604159	102599168*102599510*102599520*102599522*102599538*102601137	102604159*102602164*102604159*102602354*102602345*102604153	GO:0005515*GO:0005488**GO:0005515*GO:0005488***GO:0005515*GO:0005488	protein binding*binding**protein binding*binding***protein binding*binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]*The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule. [GOC:ceb, GOC:mah, ISBN:0198506732]**Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]*The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule. [GOC:ceb, GOC:mah, ISBN:0198506732]***Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]*The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule. [GOC:ceb, GOC:mah, ISBN:0198506732]"	IPI*IEA**IPI*IEA***IPI*IEA	molecular_function*molecular_function**molecular_function*molecular_function***molecular_function*molecular_function	********	**A0A0G2JLJ9***S4R3L5*S4R3L0**	Q6P1M9*Q6P1M9**Q6P1M9*Q6P1M9***Q6P1M9*Q6P1M9ARMCX5		PF04826*PF04826**PF04826*PF04826***PF04826*PF04826	298*298**298*298***298*298	552*552**552*552***552*552	ENSFM00500000273951*ENSFM00500000273951*ENSFM00720001503592*ENSFM00500000273951*ENSFM00500000273951*ENSFM00720001500674*ENSFM00720001500675*ENSFM00500000273951*ENSFM00500000273951	ARMADILLO REPEAT CONTAINING X LINKED 5*ARMADILLO REPEAT CONTAINING X LINKED 5*UNKNOWN*ARMADILLO REPEAT CONTAINING X LINKED 5*ARMADILLO REPEAT CONTAINING X LINKED 5*UNKNOWN*UNKNOWN*ARMADILLO REPEAT CONTAINING X LINKED 5*ARMADILLO REPEAT CONTAINING X LINKED 5	IPR006911*IPR016024**IPR006911*IPR016024***IPR006911*IPR016024	ARM-rpt_dom*ARM-type_fold**ARM-rpt_dom*ARM-type_fold***ARM-rpt_dom*ARM-type_fold	Armadillo repeat-containing domain*Armadillo-type fold**Armadillo repeat-containing domain*Armadillo-type fold***Armadillo repeat-containing domain*Armadillo-type fold	ENSFM00500000273951*ENSFM00500000273951*ENSFM00720001503592*ENSFM00500000273951*ENSFM00500000273951*ENSFM00720001500674*ENSFM00720001500675*ENSFM00500000273951*ENSFM00500000273951	ARMADILLO REPEAT CONTAINING X LINKED 5*ARMADILLO REPEAT CONTAINING X LINKED 5*UNKNOWN*ARMADILLO REPEAT CONTAINING X LINKED 5*ARMADILLO REPEAT CONTAINING X LINKED 5*UNKNOWN*UNKNOWN*ARMADILLO REPEAT CONTAINING X LINKED 5*ARMADILLO REPEAT CONTAINING X LINKED 5	IPR006911*IPR016024**IPR006911*IPR016024***IPR006911*IPR016024	ARM-rpt_dom*ARM-type_fold**ARM-rpt_dom*ARM-type_fold***ARM-rpt_dom*ARM-type_fold	Armadillo repeat-containing domain*Armadillo-type fold**Armadillo repeat-containing domain*Armadillo-type fold***Armadillo repeat-containing domain*Armadillo-type fold	

ENSG00000158164	ENST00000289373	ENSP00000289373	thymosin beta 15a [Source:HGNC Symbol;Acc:HGNC:30744]	102513676	102516784	102513676	102516784	GO:0030036*GO:0003785*GO:0005856*GO:0005737*GO:0003779*GO:0042989*GO:0007015	actin cytoskeleton organization*actin monomer binding*cytoskeleton*cytoplasm*actin binding*sequestering of actin monomers*actin filament organization	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins. [GOC:dph, GOC:jl, GOC:mah]*Interacting selectively and non-covalently with monomeric actin, also known as G-actin. [GOC:ai]*Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles. [GOC:mah, ISBN:0198547684, PMID:16959967]"*All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]"*Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments. [GOC:clt]"*The selective interaction of actin monomers with specific molecules that inhibit their polymerization by preventing their access to other monomers. [GOC:go_curators]*A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking. [GOC:mah]"	IEA*IEA*IEA*IEA*IEA*IEA*IEA	biological_process*molecular_function*cellular_component*cellular_component*molecular_function*biological_process*biological_process	******	******	P0CG34*P0CG34*P0CG34*P0CG34*P0CG34*P0CG34*P0CG34TMSB15A		PF01290*PF01290*PF01290*PF01290	2*2*2*2	41*41*41*41	ENSFM00500000282542*ENSFM00500000282542*ENSFM00500000282542*ENSFM00500000282542	UNKNOWN*UNKNOWN*UNKNOWN*UNKNOWN	IPR001152*IPR001152*IPR001152*IPR016323	Beta-thymosin*Beta-thymosin*Beta-thymosin*Thymosin_b4_metazoa	Beta-thymosin*Beta-thymosin*Beta-thymosin*Thymosin beta-4, metazoa	ENSFM00500000282542*ENSFM00500000282542*ENSFM00500000282542*ENSFM00500000282542	UNKNOWN*UNKNOWN*UNKNOWN*UNKNOWN	IPR001152*IPR001152*IPR001152*IPR016323	Beta-thymosin*Beta-thymosin*Beta-thymosin*Thymosin_b4_metazoa	Beta-thymosin*Beta-thymosin*Beta-thymosin*Thymosin beta-4, metazoa	

ENSG00000176318	ENST00000325117		forkhead box N3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43882]	102546734	102548213	102546734	102548213																							

ENSG00000196970	ENST00000360035*ENST00000416098	*	nuclear RNA export factor 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:8074]	102549965	102571695	102549965*102561935	102571695*102571465																							

ENSG00000215029	ENST00000429905*ENST00000453326*ENST00000462555	ENSP00000404462*ENSP00000392879*	t-complex 11 family, X-linked 2 [Source:HGNC Symbol;Acc:HGNC:48335]	102374628	102471812	102374628*102460319*102462991	102471812*102471812*102463504	*	*	*	*	*	*	F2Z2N1*	*Q5H9J9TCP11X2		*PF05794	*1	*392	ENSFM00250000001656*ENSFM00250000001656	T COMPLEX 11*T COMPLEX 11	*IPR008862	*Tcp11	*T-complex 11	ENSFM00250000001656*ENSFM00250000001656	T COMPLEX 11*T COMPLEX 11	*IPR008862	*Tcp11	*T-complex 11	

ENSG00000227211	ENST00000446931			102615473	102615820	102615473	102615820																							
