Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	Description	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000182888	ENST00000329806			X	3717149	3717600
ENSG00000273773	ENST00000611773			X	154620096	154620171
ENSG00000213338	ENST00000443279		activating transcription factor 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:789]	X	154622428	154623500
ENSG00000228328	ENST00000426382			X	68070520	68071767
ENSG00000272681	ENST00000598177		"family with sequence similarity 223, member A (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:30612]"	X	154632470	154633182
ENSG00000272681	ENST00000593346		"family with sequence similarity 223, member A (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:30612]"	X	154632470	154633182
ENSG00000236243	ENST00000414863		ribosomal protein L6 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:36382]	X	98251679	98252543
ENSG00000275882	ENST00000612193		"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:24455]"	X	154639978	154648275
ENSG00000158301	ENST00000332262	ENSP00000339057	G protein-coupled receptor associated sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:25169]	X	102712176	102717733
ENSG00000158301	ENST00000483720		G protein-coupled receptor associated sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:25169]	X	102712176	102717733
ENSG00000158301	ENST00000486814		G protein-coupled receptor associated sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:25169]	X	102712176	102717733
ENSG00000158301	ENST00000543253	ENSP00000437872	G protein-coupled receptor associated sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:25169]	X	102712176	102717733
ENSG00000158301	ENST00000535209	ENSP00000437394	G protein-coupled receptor associated sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:25169]	X	102712176	102717733
ENSG00000274430	ENST00000614715		"JPX transcript, XIST activator conserved region 1 [Source:RFAM;Acc:RF02124]"	X	73944332	73944466
ENSG00000126890	ENST00000247306	ENSP00000247306	cancer/testis antigen 2 [Source:HGNC Symbol;Acc:HGNC:2492]	X	154651972	154653579
ENSG00000126890	ENST00000369585	ENSP00000358598	cancer/testis antigen 2 [Source:HGNC Symbol;Acc:HGNC:2492]	X	154651972	154653579
ENSG00000278039	ENST00000618930		X-chromosome inactivation gene exon 1 [Source:RFAM;Acc:RF01880]	X	73850487	73850571
ENSG00000201592	ENST00000364722		Small nucleolar RNA U2-19 [Source:RFAM;Acc:RF00494]	X	20136306	20136385
ENSG00000147168	ENST00000276110		"interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:HGNC:6010]"	X	71107404	71112108
ENSG00000147168	ENST00000374202	ENSP00000363318	"interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:HGNC:6010]"	X	71107404	71112108
ENSG00000147168	ENST00000512747		"interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:HGNC:6010]"	X	71107404	71112108
ENSG00000147168	ENST00000482750	ENSP00000421262	"interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:HGNC:6010]"	X	71107404	71112108
ENSG00000147168	ENST00000464642	ENSP00000425233	"interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:HGNC:6010]"	X	71107404	71112108
ENSG00000147168	ENST00000487883	ENSP00000423966	"interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:HGNC:6010]"	X	71107404	71112108
ENSG00000147168	ENST00000473378	ENSP00000423601	"interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:HGNC:6010]"	X	71107404	71112108
ENSG00000147168	ENST00000374188	ENSP00000363303	"interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:HGNC:6010]"	X	71107404	71112108
ENSG00000147168	ENST00000456850	ENSP00000388967	"interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:HGNC:6010]"	X	71107404	71112108
ENSG00000252016	ENST00000516207		Small nucleolar RNA ACA64 [Source:RFAM;Acc:RF01225]	X	88148792	88148918
ENSG00000276784	ENST00000614161		"JPX transcript, XIST activator conserved region 2 [Source:RFAM;Acc:RF02125]"	X	73944595	73944663
ENSG00000207633	ENST00000384901		microRNA 505 [Source:HGNC Symbol;Acc:HGNC:32140]	X	139924126	139924237
ENSG00000199601	ENST00000362731		"RNA, U6 small nuclear 562, pseudogene [Source:HGNC Symbol;Acc:HGNC:47525]"	X	75202703	75202809
ENSG00000252170	ENST00000516361		Small nucleolar RNA SNORD112 [Source:RFAM;Acc:RF01169]	X	129518576	129518647
ENSG00000207146	ENST00000384417		Y RNA [Source:RFAM;Acc:RF00019]	X	108676951	108677057
ENSG00000212546	ENST00000391244		"RNA, U6 small nuclear 995, pseudogene [Source:HGNC Symbol;Acc:HGNC:47958]"	X	80936434	80936540
ENSG00000252583	ENST00000516774		microRNA 514b [Source:HGNC Symbol;Acc:HGNC:38292]	X	147250151	147250230
ENSG00000221081	ENST00000408154		microRNA 320d-2 [Source:HGNC Symbol;Acc:HGNC:35388]	X	140926172	140926219
ENSG00000276823	ENST00000610965		Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	X	48524480	48524806
ENSG00000201912	ENST00000365042		"RNA, 7SK small nuclear pseudogene 189 [Source:HGNC Symbol;Acc:HGNC:45913]"	X	145057108	145057437
ENSG00000263351	ENST00000582643		microRNA 4329 [Source:HGNC Symbol;Acc:HGNC:38290]	X	112780718	112780788
ENSG00000239008	ENST00000459070		Small nucleolar RNA ACA64 [Source:RFAM;Acc:RF01225]	X	80857076	80857202
ENSG00000102243	ENST00000370634	ENSP00000359668	vestigial-like family member 1 [Source:HGNC Symbol;Acc:HGNC:20985]	X	136532152	136556807
ENSG00000102243	ENST00000440515	ENSP00000398360	vestigial-like family member 1 [Source:HGNC Symbol;Acc:HGNC:20985]	X	136532152	136556807
ENSG00000102243	ENST00000456412	ENSP00000388868	vestigial-like family member 1 [Source:HGNC Symbol;Acc:HGNC:20985]	X	136532152	136556807
ENSG00000102243	ENST00000470358		vestigial-like family member 1 [Source:HGNC Symbol;Acc:HGNC:20985]	X	136532152	136556807
ENSG00000252219	ENST00000516410		microRNA 892c [Source:HGNC Symbol;Acc:HGNC:50194]	X	145992750	145992826
ENSG00000212214	ENST00000390912		Small nucleolar RNA SNORA48 [Source:RFAM;Acc:RF00554]	X	3532117	3532251
ENSG00000200620	ENST00000363750		Small nucleolar RNA SNORA7 [Source:RFAM;Acc:RF00409]	X	15716208	15716346
ENSG00000280456	ENST00000626813			X	145707665	145707742
ENSG00000277832	ENST00000610880			X	112978229	112978318
ENSG00000201377	ENST00000364507		"RNA, Ro-associated Y4 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42473]"	X	70396279	70396375
ENSG00000275254	ENST00000610451		"FTX transcript, XIST regulator conserved region 3 [Source:RFAM;Acc:RF02121]"	X	74280936	74281082
ENSG00000226141	ENST00000442033			X	154654546	154655325
ENSG00000206792	ENST00000384065		Y RNA [Source:RFAM;Acc:RF00019]	X	12054824	12054926
