ENSG00000123165	ENST00000371124	ENSP00000360165	actin-related protein T1 [Source:HGNC Symbol;Acc:HGNC:24027]	128050962	128052398	128050962	128052398	GO:0005856*GO:0005737*GO:0002230*GO:0098779	cytoskeleton*cytoplasm*positive regulation of defense response to virus by host*activation of mitophagy in response to mitochondrial depolarization	Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles. [GOC:mah, ISBN:0198547684, PMID:16959967]*All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]*Any host process that results in the promotion of antiviral immune response mechanisms, thereby limiting viral replication. [GOC:add, GOC:dph, GOC:tb, ISBN:0781735149]"*A process that detects damaged mitochondria, based on reduced membrane potential, and then activates mitophagy. [PMID:18200046, PMID:23985961]"	IEA*IEA*IMP*IGI	cellular_component*cellular_component*biological_process*biological_process	***	***	Q8TDG2*Q8TDG2*Q8TDG2*Q8TDG2ACTRT1		PF00022*PF00022*PF00022*PF00022*PF00022*PF00022*PF00022	8*8*8*8*8*8*8	376*376*376*376*376*376*376	ENSFM00730001521060*ENSFM00730001521060*ENSFM00730001521060*ENSFM00730001521060*ENSFM00730001521060*ENSFM00730001521060*ENSFM00730001521060	ACTIN*ACTIN*ACTIN*ACTIN*ACTIN*ACTIN*ACTIN	IPR004000*IPR004000*IPR004000*IPR004000*IPR004000*IPR004000*IPR004000	Actin*Actin*Actin*Actin*Actin*Actin*Actin	Actin family*Actin family*Actin family*Actin family*Actin family*Actin family*Actin family	ENSFM00730001521060*ENSFM00730001521060*ENSFM00730001521060*ENSFM00730001521060*ENSFM00730001521060*ENSFM00730001521060*ENSFM00730001521060	ACTIN*ACTIN*ACTIN*ACTIN*ACTIN*ACTIN*ACTIN	IPR004000*IPR004000*IPR004000*IPR004000*IPR004000*IPR004000*IPR004000	Actin*Actin*Actin*Actin*Actin*Actin*Actin	Actin family*Actin family*Actin family*Actin family*Actin family*Actin family*Actin family	

ENSG00000183631	ENST00000371125	ENSP00000360166	proline rich 32 [Source:HGNC Symbol;Acc:HGNC:34498]	126819764	126821786	126819764	126821786								B1ATL7PRR32		PF15488	1	294	ENSFM00250000019421	PROLINE RICH 32	IPR027891	DUF4645	Protein of unknown function DUF4645	ENSFM00250000019421	PROLINE RICH 32	IPR027891	DUF4645	Protein of unknown function DUF4645	

ENSG00000198354	ENST00000360028	ENSP00000353128	DDB1 and CUL4 associated factor 12-like 2 [Source:HGNC Symbol;Acc:HGNC:32950]	126164531	126165951	126164531	126165951	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IEA	molecular_function			Q5VW00DCAF12L2		PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400	186*186*186*186*186*186*186*186*186*186*186*186*186*186*186*186	220*220*220*220*220*220*220*220*220*220*220*220*220*220*220*220	ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626	DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING	IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR017986*IPR017986*IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR017986*IPR017986	WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat_dom*WD40_repeat_dom*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat_dom*WD40_repeat_dom	WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40-repeat-containing domain*WD40-repeat-containing domain*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40-repeat-containing domain*WD40-repeat-containing domain	ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626	DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING	IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR017986*IPR017986*IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR017986*IPR017986	WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat_dom*WD40_repeat_dom*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat_dom*WD40_repeat_dom	WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40-repeat-containing domain*WD40-repeat-containing domain*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40-repeat-containing domain*WD40-repeat-containing domain	

ENSG00000198889	ENST00000371126	ENSP00000360167	DDB1 and CUL4 associated factor 12-like 1 [Source:HGNC Symbol;Acc:HGNC:29395]	126549383	126552851	126549383	126552851	GO:0005515*GO:0005515*GO:0008150*GO:0005575*GO:0003674	protein binding*protein binding*biological_process*cellular_component*molecular_function	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]*Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]*Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end. [GOC:go_curators, GOC:isa_complete]*The part of a cell or its extracellular environment in which a gene product is located. A gene product may be located in one or more parts of a cell and its location may be as specific as a particular macromolecular complex, that is, a stable, persistent association of macromolecules that function together. [GOC:go_curators, NIF_Subcellular:sao-1337158144]*Elemental activities, such as catalysis or binding, describing the actions of a gene product at the molecular level. A given gene product may exhibit one or more molecular functions. [GOC:go_curators]"	IPI*IEA*ND*ND*ND	molecular_function*molecular_function*biological_process*cellular_component*molecular_function	****	****	Q5VU92*Q5VU92*Q5VU92*Q5VU92*Q5VU92DCAF12L1		PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400*PF00400	186*186*186*186*186*186*186*186*186*186*186*186*186*186	220*220*220*220*220*220*220*220*220*220*220*220*220*220	ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626	DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING	IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR017986*IPR017986*IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR017986*IPR017986	WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat_dom*WD40_repeat_dom*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat_dom*WD40_repeat_dom	WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40-repeat-containing domain*WD40-repeat-containing domain*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40-repeat-containing domain*WD40-repeat-containing domain	ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626*ENSFM00250000002626	DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING*DDB1 AND CUL4 ASSOCIATED FACTOR 12 WD REPEAT CONTAINING	IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR017986*IPR017986*IPR001680*IPR001680*IPR001680*IPR001680*IPR001680*IPR017986*IPR017986	WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat_dom*WD40_repeat_dom*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat*WD40_repeat_dom*WD40_repeat_dom	WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40-repeat-containing domain*WD40-repeat-containing domain*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40 repeat*WD40-repeat-containing domain*WD40-repeat-containing domain	

ENSG00000224548	ENST00000446793			127796124	127796733	127796124	127796733																							

ENSG00000225689	ENST00000449485			128323620	128600468	128323620	128600468																							
